wavelength_nm,qe
9.870000000000000000e+02,9.324614446061931794e-01
9.880000000000000000e+02,9.329205814289662779e-01
9.890000000000000000e+02,9.333797182517394875e-01
9.900000000000000000e+02,9.338388550745126970e-01
9.910000000000000000e+02,9.342979918972859066e-01
9.920000000000000000e+02,9.347571287200591161e-01
9.930000000000000000e+02,9.352162655428322147e-01
9.940000000000000000e+02,9.356754023656054242e-01
9.950000000000000000e+02,9.361345391883786338e-01
9.960000000000000000e+02,9.365936760111518433e-01
9.970000000000000000e+02,9.370528128339249418e-01
9.980000000000000000e+02,9.375119496566981514e-01
9.990000000000000000e+02,9.379710864794713610e-01
1.000000000000000000e+03,9.384302233022445705e-01
1.001000000000000000e+03,9.388893601250177801e-01
1.002000000000000000e+03,9.393484969477908786e-01
1.003000000000000000e+03,9.398076337705640881e-01
1.004000000000000000e+03,9.402667705933372977e-01
1.005000000000000000e+03,9.407259074161105072e-01
1.006000000000000000e+03,9.411850442388836058e-01
1.007000000000000000e+03,9.416441810616568153e-01
1.008000000000000000e+03,9.421033178844300249e-01
1.009000000000000000e+03,9.425624547072032344e-01
1.010000000000000000e+03,9.429876115842577011e-01
1.011000000000000000e+03,9.434100174612090051e-01
1.012000000000000000e+03,9.438324233381604200e-01
1.013000000000000000e+03,9.442548292151117240e-01
1.014000000000000000e+03,9.446772350920630279e-01
1.015000000000000000e+03,9.450996409690143318e-01
1.016000000000000000e+03,9.455220468459657468e-01
1.017000000000000000e+03,9.459444527229170507e-01
1.018000000000000000e+03,9.463668585998683547e-01
1.019000000000000000e+03,9.467892644768196586e-01
1.020000000000000000e+03,9.472116703537709625e-01
1.021000000000000000e+03,9.476340762307223775e-01
1.022000000000000000e+03,9.480564821076736814e-01
1.023000000000000000e+03,9.484788879846249854e-01
1.024000000000000000e+03,9.489012938615762893e-01
1.025000000000000000e+03,9.493236997385277043e-01
1.026000000000000000e+03,9.497461056154790082e-01
1.027000000000000000e+03,9.501685114924303122e-01
1.028000000000000000e+03,9.505909173693816161e-01
1.029000000000000000e+03,9.510133232463330311e-01
1.030000000000000000e+03,9.514357291232843350e-01
1.031000000000000000e+03,9.518581350002356389e-01
1.032000000000000000e+03,9.522805408771869429e-01
1.033000000000000000e+03,9.527029467541383578e-01
1.034000000000000000e+03,9.531204810684069662e-01
1.035000000000000000e+03,9.535015646313087512e-01
1.036000000000000000e+03,9.538826481942104252e-01
1.037000000000000000e+03,9.542637317571122102e-01
1.038000000000000000e+03,9.546448153200139952e-01
1.039000000000000000e+03,9.550258988829156692e-01
1.040000000000000000e+03,9.554069824458174542e-01
1.041000000000000000e+03,9.557880660087192393e-01
1.042000000000000000e+03,9.561691495716209133e-01
1.043000000000000000e+03,9.565502331345226983e-01
1.044000000000000000e+03,9.569313166974244833e-01
1.045000000000000000e+03,9.573124002603261573e-01
1.046000000000000000e+03,9.576934838232279423e-01
1.047000000000000000e+03,9.580745673861297274e-01
1.048000000000000000e+03,9.584556509490314014e-01
1.049000000000000000e+03,9.588367345119331864e-01
1.050000000000000000e+03,9.592178180748349714e-01
1.051000000000000000e+03,9.595989016377366454e-01
1.052000000000000000e+03,9.599799852006384304e-01
1.053000000000000000e+03,9.603610687635402154e-01
1.054000000000000000e+03,9.607421523264418894e-01
1.055000000000000000e+03,9.611232358893436745e-01
1.056000000000000000e+03,9.615043194522454595e-01
1.057000000000000000e+03,9.618854030151471335e-01
1.058000000000000000e+03,9.622664865780489185e-01
1.059000000000000000e+03,9.626233205844857421e-01
1.060000000000000000e+03,9.629263508875161026e-01
1.061000000000000000e+03,9.632293811905463521e-01
1.062000000000000000e+03,9.635324114935766016e-01
1.063000000000000000e+03,9.638354417966069621e-01
1.064000000000000000e+03,9.641384720996372115e-01
1.065000000000000000e+03,9.644415024026675720e-01
1.066000000000000000e+03,9.647445327056978215e-01
1.067000000000000000e+03,9.650475630087281820e-01
1.068000000000000000e+03,9.653505933117584314e-01
1.069000000000000000e+03,9.656536236147887919e-01
1.070000000000000000e+03,9.659566539178190414e-01
1.071000000000000000e+03,9.662596842208494019e-01
1.072000000000000000e+03,9.665627145238796514e-01
1.073000000000000000e+03,9.668657448269100119e-01
1.074000000000000000e+03,9.671687751299402613e-01
1.075000000000000000e+03,9.674718054329706218e-01
1.076000000000000000e+03,9.677748357360008713e-01
1.077000000000000000e+03,9.680778660390312318e-01
1.078000000000000000e+03,9.683808963420614813e-01
1.079000000000000000e+03,9.686839266450918418e-01
1.080000000000000000e+03,9.689869569481220912e-01
1.081000000000000000e+03,9.692899872511524517e-01
1.082000000000000000e+03,9.695930175541827012e-01
1.083000000000000000e+03,9.698960478572129507e-01
1.084000000000000000e+03,9.701574692836829605e-01
1.085000000000000000e+03,9.703778549586140612e-01
1.086000000000000000e+03,9.705982406335452728e-01
1.087000000000000000e+03,9.708186263084763734e-01
1.088000000000000000e+03,9.710390119834074740e-01
1.089000000000000000e+03,9.712593976583385746e-01
1.090000000000000000e+03,9.714797833332697863e-01
1.091000000000000000e+03,9.717001690082008869e-01
1.092000000000000000e+03,9.719205546831319875e-01
1.093000000000000000e+03,9.721409403580630881e-01
1.094000000000000000e+03,9.723613260329941888e-01
1.095000000000000000e+03,9.725817117079254004e-01
1.096000000000000000e+03,9.728020973828565010e-01
1.097000000000000000e+03,9.730224830577876016e-01
1.098000000000000000e+03,9.732428687327187022e-01
1.099000000000000000e+03,9.734632544076499139e-01
1.100000000000000000e+03,9.736836400825810145e-01
1.101000000000000000e+03,9.739040257575121151e-01
1.102000000000000000e+03,9.741244114324432157e-01
1.103000000000000000e+03,9.743447971073744274e-01
1.104000000000000000e+03,9.745651827823055280e-01
1.105000000000000000e+03,9.747855684572366286e-01
1.106000000000000000e+03,9.750059541321677292e-01
1.107000000000000000e+03,9.752263398070989409e-01
1.108000000000000000e+03,9.754467254820300415e-01
1.109000000000000000e+03,9.757150626170926211e-01
1.110000000000000000e+03,9.760043188154398086e-01
1.111000000000000000e+03,9.762935750137868851e-01
1.112000000000000000e+03,9.765828312121339616e-01
1.113000000000000000e+03,9.768720874104811491e-01
1.114000000000000000e+03,9.771613436088282256e-01
1.115000000000000000e+03,9.774505998071753021e-01
1.116000000000000000e+03,9.777398560055223786e-01
1.117000000000000000e+03,9.780291122038695661e-01
1.118000000000000000e+03,9.783183684022166426e-01
1.119000000000000000e+03,9.786076246005637191e-01
1.120000000000000000e+03,9.788968807989109067e-01
1.121000000000000000e+03,9.791861369972579832e-01
1.122000000000000000e+03,9.794753931956050597e-01
1.123000000000000000e+03,9.797646493939522472e-01
1.124000000000000000e+03,9.800539055922993237e-01
1.125000000000000000e+03,9.803431617906464002e-01
1.126000000000000000e+03,9.806324179889934767e-01
1.127000000000000000e+03,9.809216741873406642e-01
1.128000000000000000e+03,9.812109303856877407e-01
1.129000000000000000e+03,9.815001865840348172e-01
1.130000000000000000e+03,9.817894427823820047e-01
1.131000000000000000e+03,9.820786989807290812e-01
1.132000000000000000e+03,9.823679551790761577e-01
1.133000000000000000e+03,9.826572113774233452e-01
1.134000000000000000e+03,9.828240098628449051e-01
1.135000000000000000e+03,9.829755250143600298e-01
1.136000000000000000e+03,9.831270401658751545e-01
1.137000000000000000e+03,9.832785553173903903e-01
1.138000000000000000e+03,9.834300704689055150e-01
1.139000000000000000e+03,9.835815856204206398e-01
1.140000000000000000e+03,9.837331007719357645e-01
1.141000000000000000e+03,9.838846159234510003e-01
1.142000000000000000e+03,9.840361310749661250e-01
1.143000000000000000e+03,9.841876462264812497e-01
1.144000000000000000e+03,9.843391613779963745e-01
1.145000000000000000e+03,9.844906765295116102e-01
1.146000000000000000e+03,9.846421916810267350e-01
1.147000000000000000e+03,9.847937068325418597e-01
1.148000000000000000e+03,9.849452219840569844e-01
1.149000000000000000e+03,9.850967371355722202e-01
1.150000000000000000e+03,9.852482522870873449e-01
1.151000000000000000e+03,9.853997674386024697e-01
1.152000000000000000e+03,9.855512825901175944e-01
1.153000000000000000e+03,9.857027977416328302e-01
1.154000000000000000e+03,9.858543128931479549e-01
1.155000000000000000e+03,9.860058280446630796e-01
1.156000000000000000e+03,9.861573431961782044e-01
1.157000000000000000e+03,9.863088583476934401e-01
1.158000000000000000e+03,9.864731478191320901e-01
1.159000000000000000e+03,9.867807694903900639e-01
1.160000000000000000e+03,9.870883911616481488e-01
1.161000000000000000e+03,9.873960128329061225e-01
1.162000000000000000e+03,9.877036345041642074e-01
1.163000000000000000e+03,9.880112561754221812e-01
1.164000000000000000e+03,9.883188778466802660e-01
1.165000000000000000e+03,9.886264995179382398e-01
1.166000000000000000e+03,9.889341211891963246e-01
1.167000000000000000e+03,9.892417428604542984e-01
1.168000000000000000e+03,9.895493645317123832e-01
1.169000000000000000e+03,9.898569862029703570e-01
1.170000000000000000e+03,9.901646078742284418e-01
1.171000000000000000e+03,9.904722295454865266e-01
1.172000000000000000e+03,9.907798512167445004e-01
1.173000000000000000e+03,9.910874728880025852e-01
1.174000000000000000e+03,9.913950945592605590e-01
1.175000000000000000e+03,9.917027162305186438e-01
1.176000000000000000e+03,9.920103379017766176e-01
1.177000000000000000e+03,9.923179595730347025e-01
1.178000000000000000e+03,9.926255812442926763e-01
1.179000000000000000e+03,9.929332029155507611e-01
1.180000000000000000e+03,9.932408245868087349e-01
1.181000000000000000e+03,9.935484462580668197e-01
1.182000000000000000e+03,9.938560679293247935e-01
1.183000000000000000e+03,9.941271242242116779e-01
1.184000000000000000e+03,9.943015962168654243e-01
1.185000000000000000e+03,9.944760682095192816e-01
1.186000000000000000e+03,9.946505402021731390e-01
1.187000000000000000e+03,9.948250121948268854e-01
1.188000000000000000e+03,9.949994841874807427e-01
1.189000000000000000e+03,9.951739561801344891e-01
1.190000000000000000e+03,9.953484281727883465e-01
1.191000000000000000e+03,9.955229001654422039e-01
1.192000000000000000e+03,9.956973721580959502e-01
1.193000000000000000e+03,9.958718441507498076e-01
1.194000000000000000e+03,9.960463161434035539e-01
1.195000000000000000e+03,9.962207881360574113e-01
1.196000000000000000e+03,9.963952601287112687e-01
1.197000000000000000e+03,9.965697321213650151e-01
1.198000000000000000e+03,9.967442041140188724e-01
1.199000000000000000e+03,9.969186761066726188e-01
1.200000000000000000e+03,9.970931480993264762e-01
1.201000000000000000e+03,9.972676200919803335e-01
1.202000000000000000e+03,9.974420920846340799e-01
1.203000000000000000e+03,9.976165640772879373e-01
1.204000000000000000e+03,9.977910360699416836e-01
1.205000000000000000e+03,9.979655080625955410e-01
1.206000000000000000e+03,9.981399800552492874e-01
1.207000000000000000e+03,9.983144520479031447e-01
1.208000000000000000e+03,9.983558698827896816e-01
1.209000000000000000e+03,9.982456770453240757e-01
